Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
1,0.049,0.053,0.079,0.312,0.436,,
2,0.042,0.048,0.075,0.322,0.450,,
3,0.044,0.052,0.092,0.449,0.592,,
4,0.014,0.018,0.034,0.191,0.240,,
5,0.019,0.020,0.022,0.035,0.035,,
6,0.019,0.020,0.022,0.029,0.029,,
7,0.017,0.018,0.021,0.024,0.024,,
8,0.019,0.020,0.020,0.023,0.023,,
9,0.021,0.022,0.024,0.031,0.031,,
10,0.019,0.020,0.022,0.028,0.028,,
11,0.018,0.019,0.021,0.024,0.024,,
12,0.017,0.018,0.019,0.025,0.025,,
13,0.018,0.018,0.019,0.023,0.023,,
14,0.020,0.020,0.022,0.031,0.031,,
15,0.019,0.020,0.021,0.029,0.029,,
16,0.019,0.020,0.023,0.024,0.024,,
17,0.020,0.022,0.025,0.027,0.027,,
18,0.020,0.021,0.024,0.029,0.029,,
19,0.020,0.021,0.023,0.032,0.032,,
20,0.021,0.022,0.024,0.033,0.034,,
21,0.024,0.025,0.026,0.035,0.056,,
22,0.020,0.021,0.022,0.029,0.039,,
23,0.018,0.019,0.023,0.032,0.032,,
24,0.018,0.019,0.021,0.026,0.027,,
25,0.019,0.020,0.021,0.026,0.038,,
26,0.019,0.020,0.022,0.024,0.030,,
27,0.019,0.021,0.023,0.027,0.027,,
28,0.018,0.020,0.022,0.024,0.024,,
29,0.018,0.019,0.021,0.026,0.027,,
30,0.019,0.020,0.022,0.024,0.038,,
31,0.019,0.020,0.022,0.026,0.045,,
32,0.019,0.020,0.022,0.025,0.031,,
33,0.019,0.020,0.022,0.027,0.027,,
34,0.018,0.019,0.021,0.023,0.023,,
35,0.018,0.019,0.021,0.021,0.021,,
36,0.018,0.019,0.021,0.025,0.025,,
37,0.019,0.020,0.023,0.027,0.027,,
38,0.019,0.019,0.021,0.023,0.023,,
39,0.018,0.019,0.020,0.024,0.024,,
40,0.019,0.019,0.020,0.028,0.028,,
41,0.018,0.019,0.020,0.027,0.027,,
42,0.019,0.020,0.021,0.023,0.023,,
43,0.018,0.019,0.021,0.026,0.026,,
44,0.018,0.019,0.019,0.025,0.025,,
45,0.017,0.017,0.017,0.019,0.019,,
46,0.018,0.019,0.020,0.020,0.022,,
47,0.019,0.020,0.021,0.021,0.045,,
48,0.019,0.020,0.021,0.023,0.034,,
49,0.021,0.021,0.023,0.035,0.035,,
50,0.018,0.019,0.020,0.026,0.026,,
51,0.018,0.019,0.020,0.023,0.023,,
52,0.018,0.019,0.021,0.024,0.024,,
53,0.017,0.018,0.019,0.022,0.022,,
54,0.018,0.019,0.020,0.022,0.022,,
55,0.017,0.019,0.019,0.020,0.020,,
56,0.018,0.019,0.020,0.020,0.020,,
57,0.018,0.019,0.020,0.030,0.030,,
58,0.017,0.018,0.020,0.025,0.025,,
59,0.018,0.019,0.019,0.020,0.020,,
60,0.017,0.018,0.019,0.020,0.020,,
61,0.019,0.019,0.020,0.021,0.021,,
62,0.020,0.020,0.021,0.027,0.027,,
63,0.017,0.018,0.019,0.023,0.023,,
64,0.018,0.019,0.020,0.021,0.021,,
65,0.020,0.021,0.023,0.024,0.024,,
66,0.019,0.020,0.022,0.028,0.028,,
67,0.019,0.019,0.021,0.026,0.026,,
68,0.020,0.020,0.022,0.023,0.023,,
69,0.017,0.018,0.020,0.021,0.021,,
70,0.019,0.019,0.021,0.022,0.022,,
71,0.019,0.020,0.022,0.023,0.023,,
72,0.018,0.019,0.020,0.023,0.023,,
73,0.019,0.020,0.020,0.023,0.023,,
74,0.020,0.021,0.023,0.029,0.029,,
75,0.018,0.018,0.020,0.026,0.026,,
76,0.019,0.020,0.021,0.025,0.025,,
77,0.018,0.019,0.021,0.028,0.028,,
78,0.018,0.018,0.019,0.024,0.024,,
79,0.018,0.019,0.020,0.022,0.022,,
80,0.021,0.022,0.024,0.026,0.026,,
81,0.023,0.024,0.026,0.031,0.031,,
82,0.019,0.021,0.022,0.026,0.026,,
83,0.020,0.021,0.024,0.028,0.028,,
84,0.018,0.019,0.022,0.026,0.026,,
85,0.017,0.018,0.020,0.021,0.021,,
86,0.018,0.019,0.019,0.021,0.021,,
87,0.020,0.021,0.023,0.029,0.029,,
88,0.020,0.020,0.023,0.028,0.028,,
89,0.018,0.018,0.020,0.024,0.024,,
90,0.019,0.019,0.021,0.029,0.029,,
91,0.019,0.020,0.022,0.026,0.026,,
92,0.019,0.019,0.021,0.024,0.024,,
93,0.019,0.020,0.020,0.026,0.026,,
94,0.019,0.019,0.020,0.025,0.025,,
95,0.018,0.019,0.020,0.024,0.024,,
96,0.018,0.018,0.020,0.024,0.024,,
97,0.019,0.019,0.020,0.028,0.028,,
98,0.018,0.019,0.020,0.023,0.023,,
99,0.018,0.018,0.019,0.022,0.022,,
100,0.018,0.019,0.020,0.027,0.027,,
101,0.017,0.018,0.019,0.022,0.022,,
102,0.019,0.019,0.020,0.022,0.022,,
